D 2023-04-16 17:56:02,736| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:58352 "POST /session/5cfa7bebc2fc1057b427109f181636e9/element/5f47d691-358f-4574-ab82-7d5ef020359a/clear HTTP/1.1" 200 14
D 2023-04-16 17:56:02,737| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-16 17:56:02,737| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:58352/session/5cfa7bebc2fc1057b427109f181636e9/element/5f47d691-358f-4574-ab82-7d5ef020359a/value {"text": "\u4e09\u56fd\u5fd7\u6218\u7565\u7248", "value": ["\u4e09", "\u56fd", "\u5fd7", "\u6218", "\u7565", "\u7248"], "id": "5f47d691-358f-4574-ab82-7d5ef020359a"}
D 2023-04-16 17:56:03,939| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:58352 "POST /session/5cfa7bebc2fc1057b427109f181636e9/element/5f47d691-358f-4574-ab82-7d5ef020359a/value HTTP/1.1" 200 14
D 2023-04-16 17:56:03,939| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-16 17:56:03,940| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:58352/session/5cfa7bebc2fc1057b427109f181636e9/element {"using": "css selector", "value": ".keywords"}
D 2023-04-16 17:56:04,545| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:58352 "POST /session/5cfa7bebc2fc1057b427109f181636e9/element HTTP/1.1" 200 88
D 2023-04-16 17:56:04,546| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-16 17:56:04,546| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:58352/session/5cfa7bebc2fc1057b427109f181636e9/actions {"actions": [{"type": "pointer", "parameters": {"pointerType": "mouse"}, "id": "mouse", "actions": [{"type": "pointerMove", "duration": 250, "x": 0, "y": 0, "origin": {"element-6066-11e4-a52e-4f735466cecf": "5f47d691-358f-4574-ab82-7d5ef020359a"}}, {"type": "pointerDown", "duration": 0, "button": 2}, {"type": "pointerUp", "duration": 0, "button": 2}]}, {"type": "key", "id": "key", "actions": [{"type": "pause", "duration": 0}, {"type": "pause", "duration": 0}, {"type": "pause", "duration": 0}]}]}
D 2023-04-16 17:56:05,275| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:58352 "POST /session/5cfa7bebc2fc1057b427109f181636e9/actions HTTP/1.1" 200 14
D 2023-04-16 17:56:05,276| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-16 17:56:07,782| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:58352/session/5cfa7bebc2fc1057b427109f181636e9/element {"using": "css selector", "value": ".keywords"}
D 2023-04-16 17:56:07,787| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:58352 "POST /session/5cfa7bebc2fc1057b427109f181636e9/element HTTP/1.1" 200 88
D 2023-04-16 17:56:07,787| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-16 17:56:07,787| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:58352/session/5cfa7bebc2fc1057b427109f181636e9/element/5f47d691-358f-4574-ab82-7d5ef020359a/click {"id": "5f47d691-358f-4574-ab82-7d5ef020359a"}
D 2023-04-16 17:56:07,952| DEBUG    | [connectionpool.py:connectionpool:_make_request:452] - http://localhost:58352 "POST /session/5cfa7bebc2fc1057b427109f181636e9/element/5f47d691-358f-4574-ab82-7d5ef020359a/click HTTP/1.1" 200 14
D 2023-04-16 17:56:07,985| DEBUG    | [remote_connection.py:remote_connection:_request:347] - Finished Request
D 2023-04-16 17:56:09,991| DEBUG    | [remote_connection.py:remote_connection:_request:303] - POST http://localhost:58352/session/5cfa7bebc2fc1057b427109f181636e9/element {"using": "css selector", "value": ".keywords"}
